"Exportation";"Valeur en euros";"Japon";12915;140120;2253;0;6192;3598;26536;4994;10331;4856;57429;4598;2012
"Exportation";"Valeur en euros";"Lituanie";0;151;0;0;1836;1836;59;0;298;19;463;1836;1846
"Exportation";"Valeur en euros";"Singapour";6907;105209;260;1820;813;0;1745;4376;2551;393;4607;6193;1511
"Exportation";"Valeur en euros";"Equateur";0;0;0;0;0;0;0;0;0;0;0;0;1497
"Exportation";"Valeur en euros";"Ancienne république yougoslave de Macédoine";0;0;0;0;0;0;65;0;0;0;0;0;1495
"Exportation";"Valeur en euros";"Jordanie";1233;2012;28971;0;0;0;13685;14348;0;0;1768;2729;1375
"Exportation";"Valeur en euros";"Luxembourg";19208;37704;75238;37619;75215;38442;37866;89108;44488;45736;0;0;1112
"Exportation";"Valeur en euros";"Vietnam";10337;914;9937;1822;3651;0;12782;0;729;9155;0;7009;1060
"Exportation";"Valeur en euros";"Hongrie";88;2993;0;293;284;0;103;0;12399;506241;568;0;1034
"Exportation";"Valeur en euros";"Pérou";7265;0;1168;8049;0;2028;3133;0;7500;948;4081;2686;790
"Exportation";"Valeur en euros";"Malaysie";744;1076;27179;0;3278;407;7290;1373;0;3472;1006;29735;741
"Exportation";"Valeur en euros";"Roumanie";11;478;631;7492;4682;7585;557;156;631;5825;68;17560;557
"Exportation";"Valeur en euros";"Côte d Ivoire";0;0;0;0;0;0;0;0;0;0;0;0;280
"Exportation";"Valeur en euros";"Madagascar";43;44;22;22;22;88;29;22;0;162;37;7;135
"Exportation";"Valeur en euros";"Bulgarie";191;9208;0;273;273;0;546;9698;0;273;273;0;84
"Exportation";"Valeur en euros";"Uruguay";0;79;67;0;0;237;2545;158;0;62;1124;355;79
"Exportation";"Valeur en euros";"Suède";791;6115;298;385;1528;1014;611;1185;80;2180;1550;4290;66
"Exportation";"Valeur en euros";"Slovénie";54;314;388;11739;31;253;0;6138;11753;445;148;127;10
"Exportation";"Valeur en euros";"Sénégal";12905;0;0;193;0;0;0;0;0;0;6376;0;0
"Exportation";"Valeur en euros";"Taïwan";8701;13777;0;888;0;11674;1155;3562;6943;885;6860;15835;0
"Exportation";"Valeur en euros";"Polynésie française";0;0;4246;197;211;0;3076;0;196284;5248;8797;0;0
"Exportation";"Valeur en euros";"Serbie";0;0;19090;0;0;0;0;0;7781;0;12663;0;0
"Exportation";"Valeur en euros";"Slovaquie";0;0;1220;0;127;0;0;0;0;127;750;325;0
"Exportation";"Valeur en euros";"Ukraine";0;0;0;316;67;0;1964;0;0;0;0;0;0
"Exportation";"Valeur en euros";"Norvège (yc Svalbard)";0;0;0;0;223;0;0;0;0;0;26767;0;0
"Exportation";"Valeur en euros";"Qatar";0;0;0;0;3875;0;0;0;0;0;0;0;0
"Exportation";"Valeur en euros";"Nouvelle-Zélande";0;0;0;0;0;300659;565;0;0;0;0;0;0
"Exportation";"Valeur en euros";"Ouganda";0;0;0;0;0;0;79;0;0;0;1217;0;0
"Exportation";"Valeur en euros";"Paraguay";0;0;0;0;0;0;0;79;0;0;0;257;0
"Exportation";"Valeur en euros";"Saint-Marin";0;0;0;0;0;0;0;0;0;0;2241;0;0
"Exportation";"Valeur en euros";"Zimbabwe";927;0;0;316;0;0;0;0;0;316;0;0;0
"Exportation";"Valeur en euros";"Mali";0;0;0;0;9903;0;0;9144;0;0;0;0;0
"Exportation";"Valeur en euros";"Mongolie";560;0;0;0;0;0;0;0;0;0;0;0;0
"Exportation";"Valeur en euros";"Lettonie";419;1154;2353;1177;588;2045;2941;0;0;0;0;8709;0
"Exportation";"Valeur en euros";"Maroc";3523;6929;30980;0;1334;49841;32310;36800;19210;3001;21149;16335;0
"Exportation";"Valeur en euros";"Malte";0;0;0;2132;21031;0;0;25001;0;4;123;0;0
"Exportation";"Valeur en euros";"Maurice";0;22;22;79;22;0;15;0;22;30;225;74;0
"Exportation";"Valeur en euros";"Philippines";191;0;0;0;2779;0;3547;0;0;0;0;0;0
"Exportation";"Valeur en euros";"Nigéria";0;0;0;0;0;0;0;21000;0;29616;0;0;0
"Exportation";"Valeur en euros";"Hong-Kong";79;0;0;0;0;0;225;0;0;200;79;0;0
"Exportation";"Valeur en euros";"Croatie";0;11115;0;8;25;0;0;4180;0;9554;0;0;0
"Exportation";"Valeur en euros";"Irlande";0;11573;643587;944230;10702;302542;1546;0;10640;0;889;1610;0
"Exportation";"Valeur en euros";"Iran";0;0;0;0;450;0;1340;0;0;0;0;0;0
"Exportation";"Valeur en euros";"Liban";0;1702;5577;0;0;0;0;0;2381;0;0;0;0
"Exportation";"Valeur en euros";"Sri Lanka";0;0;7051;0;12385;0;0;0;0;0;5145;0;0
"Exportation";"Valeur en euros";"Libéria";384;0;0;0;0;0;0;0;0;0;0;0;0
"Exportation";"Valeur en euros";"Estonie";0;0;0;0;0;0;0;192;0;0;0;0;0
"Exportation";"Valeur en euros";"Guinée";0;0;0;110787;0;0;0;0;0;0;0;0;0
"Exportation";"Valeur en euros";"Guatemala";0;0;0;0;0;0;0;0;0;0;7513;0;0
"Exportation";"Valeur en euros";"Guyana";0;0;0;2095;0;0;0;0;0;0;0;0;0
"Exportation";"Valeur en euros";"Géorgie";16;0;0;0;0;0;0;18;0;0;0;0;0
"Exportation";"Valeur en euros";"Bahreïn";0;0;0;12000;0;0;0;0;0;0;0;0;0
"Exportation";"Valeur en euros";"Bénin";0;0;0;0;0;0;4378;0;0;0;46426;0;0
"Exportation";"Valeur en euros";"Saint Barthelemy";0;0;0;1652;0;0;0;0;1135;0;0;0;0
"Exportation";"Valeur en euros";"Australie";0;430;13084;431;4965;10650;0;0;15297;12773;987;8038;0
"Exportation";"Valeur en euros";"Azerbaïdjan";0;0;0;0;0;0;0;0;0;0;375;0;0
"Exportation";"Valeur en euros";"Costa Rica";0;395;0;0;0;0;0;0;632;0;632;0;0
"Exportation";"Valeur en euros";"Chypre";0;4583;0;0;2340;0;0;1755;0;0;2340;0;0
"Exportation";"Valeur en euros";"Andorre";0;0;0;0;0;0;18;0;0;0;0;0;0
"Exportation";"Valeur en euros";"Emirats Arabes Unis";2701;0;0;0;2246;7029;0;1000;5170;63;958;0;0
"Exportation";"Masse en kilogramme";"Total";1474292;1097011;1512340;739140;876605;640779;1863800;1800250;1217969;783995;800187;655060;683202
"Exportation";"Masse en kilogramme";"Etats-Unis d Amérique";744865;27302;724762;37158;14141;24084;714212;38131;271957;142217;141679;139214;320048
"Exportation";"Masse en kilogramme";"Allemagne";39557;64731;104877;53099;294925;207292;323888;109728;245347;90176;147456;105333;84965
"Exportation";"Masse en kilogramme";"Italie";69558;130871;70445;106927;102699;91061;84566;79168;104545;132941;65454;82638;78716
"Exportation";"Masse en kilogramme";"Belgique";244583;559249;78369;123872;131269;123456;436356;225884;314198;159049;181111;121384;66346
"Exportation";"Masse en kilogramme";"Espagne";17291;54187;79222;63460;83267;55236;62856;60662;24079;61471;69215;70470;36327
"Exportation";"Masse en kilogramme";"Chine";57667;12840;5172;67367;41796;13043;66831;83398;19482;40459;33334;28196;20619
"Exportation";"Masse en kilogramme";"Colombie";1080;1410;1785;1895;3515;660;2050;3040;10;2180;15;900;18185
"Exportation";"Masse en kilogramme";"Finlande";200;5689;4997;4108;2320;3952;1670;925;5223;2770;7683;11;8618
"Exportation";"Masse en kilogramme";"Inde";7967;6605;8259;6215;14337;8158;17568;24892;7501;5930;1514;8683;6870
"Exportation";"Masse en kilogramme";"Corée du Sud";3556;10340;6275;11512;200;23935;24441;11040;4860;510;3059;921;6775
"Exportation";"Masse en kilogramme";"Turquie";21824;5456;24669;33677;28772;21431;19983;24413;1226;38472;26359;15667;4684
"Exportation";"Masse en kilogramme";"Canada";4885;1651;85;7486;4964;203;3776;1631;931;3314;1125;2987;4630
"Exportation";"Masse en kilogramme";"Thaïlande";2035;1450;4898;2305;4140;760;1530;2750;4220;2055;4080;540;3275
"Exportation";"Masse en kilogramme";"Pays-Bas";469;7836;152866;24123;19163;72;6402;1038934;48759;812;2412;5305;2630
"Exportation";"Masse en kilogramme";"Danemark";999;240;5514;243;7699;903;3085;2311;5451;358;1468;1780;2381
"Exportation";"Masse en kilogramme";"Mexique";20705;20075;235;2110;675;360;315;865;54222;954;21725;561;2350
"Exportation";"Masse en kilogramme";"Brésil";14835;24506;5800;25807;21925;2360;19675;12060;16820;2838;19355;3071;2265
"Exportation";"Masse en kilogramme";"Portugal";86;492;1603;532;3212;1235;111;643;656;1806;757;1059;2088
"Exportation";"Masse en kilogramme";"Grèce";8021;205;680;8600;361;15339;5594;1235;505;16405;3240;5652;1451
"Exportation";"Masse en kilogramme";"Algérie";5767;0;75;875;50;3150;1;2686;0;2029;150;0;1075
"Exportation";"Masse en kilogramme";"Pologne";2798;5721;4684;8404;49440;3820;21368;33255;51361;45138;8551;37231;1014
"Exportation";"Masse en kilogramme";"Israël";300;2004;0;469;1025;20;561;5735;25;1370;4934;667;925
"Exportation";"Masse en kilogramme";"Tunisie";452;564;12420;1656;2656;1095;9328;26;11010;524;10079;3431;859
"Exportation";"Masse en kilogramme";"Pakistan";300;0;225;350;175;125;0;169;150;200;0;150;850
"Exportation";"Masse en kilogramme";"Chili";1945;0;2200;245;5;45;1160;1070;690;25;2205;1335;725
"Exportation";"Masse en kilogramme";"Egypte";700;290;4208;175;650;1088;125;1002;0;800;925;350;525
"Exportation";"Masse en kilogramme";"République tchèque";745;1066;0;760;125;50;23;675;0;13;33;65;500
"Exportation";"Masse en kilogramme";"Afrique du Sud";118;0;13439;0;13446;8607;4902;8506;0;8512;0;0;425
"Exportation";"Masse en kilogramme";"Suisse";6;6568;1985;1236;4757;622;1767;344;1554;3014;875;1470;415
"Exportation";"Masse en kilogramme";"Royaume-Uni";189463;102896;167995;105446;6512;125;10665;467;7867;495;2505;7591;398
"Exportation";"Masse en kilogramme";"Madagascar";48;94;47;47;47;41;62;47;0;162;79;3;249
"Exportation";"Masse en kilogramme";"Arabie Saoudite";0;0;350;0;4;1;25;160;6;25;125;2;225
"Exportation";"Masse en kilogramme";"Lituanie";0;10;0;0;180;180;9;0;25;1;25;180;181
"Exportation";"Masse en kilogramme";"Nouvelle Calédonie";0;0;0;0;0;2;0;0;0;0;0;0;180
"Exportation";"Masse en kilogramme";"Argentine";200;0;243;0;251;50;75;100;0;0;100;130;170
"Exportation";"Masse en kilogramme";"Cambodge";0;0;0;380;0;0;0;0;1;0;0;0;165
"Exportation";"Masse en kilogramme";"Ancienne république yougoslave de Macédoine";0;0;0;0;0;0;3;0;0;0;0;0;145
"Exportation";"Masse en kilogramme";"Hongrie";5;55;0;49;25;0;6;0;641;99;50;0;140
"Exportation";"Masse en kilogramme";"Indonésie";280;2821;1956;327;410;2890;25;4016;601;2821;3091;200;135
"Exportation";"Masse en kilogramme";"Malaysie";100;64;1575;0;377;25;474;104;0;300;75;1690;129
"Exportation";"Masse en kilogramme";"Japon";728;29062;138;0;448;166;1556;305;630;203;3275;154;110
"Exportation";"Masse en kilogramme";"Equateur";0;0;0;0;0;0;0;0;0;0;0;0;75
"Exportation";"Masse en kilogramme";"Singapour";17;1200;20;31;26;0;14;131;55;9;16;26;51
"Exportation";"Masse en kilogramme";"République dominicaine";122;0;0;0;0;75;0;0;0;47;75;0;50
"Exportation";"Masse en kilogramme";"Luxembourg";1715;4015;7988;3994;7948;4013;4001;8009;3994;4033;0;0;50
"Exportation";"Masse en kilogramme";"Vietnam";500;75;325;125;125;0;800;0;50;299;0;400;50
"Exportation";"Masse en kilogramme";"Autriche";34;11;1;1;26;0;47;12;149;21;29;28;39
"Exportation";"Masse en kilogramme";"Côte d Ivoire";0;0;0;0;0;0;0;0;0;0;0;0;25
"Exportation";"Masse en kilogramme";"Bangladesh";360;0;75;0;1000;0;700;25;0;0;1900;650;25
"Exportation";"Masse en kilogramme";"Roumanie";1;78;44;400;200;415;25;20;26;250;4;949;25
"Exportation";"Masse en kilogramme";"Jordanie";6;70;1002;0;0;0;500;500;0;0;40;50;25
"Exportation";"Masse en kilogramme";"Bulgarie";33;174;0;25;25;0;50;174;0;25;25;0;13
"Exportation";"Masse en kilogramme";"Suède";136;925;25;36;135;76;61;120;11;84;148;79;10
"Exportation";"Masse en kilogramme";"Slovénie";3;34;24;1455;1;28;0;736;1447;69;16;15;1
"Exportation";"Masse en kilogramme";"Pérou";184;0;180;400;0;175;180;0;400;0;180;0;0
"Exportation";"Masse en kilogramme";"Philippines";25;0;0;0;95;0;125;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Uruguay";0;0;0;0;0;0;72;0;0;0;25;1;0
"Exportation";"Masse en kilogramme";"Serbie";0;0;800;0;0;0;0;0;325;0;559;0;0
"Exportation";"Masse en kilogramme";"Slovaquie";0;0;206;0;21;0;0;0;0;20;115;50;0
"Exportation";"Masse en kilogramme";"Polynésie française";0;0;1086;6;12;0;1427;0;2726;568;1809;0;0
"Exportation";"Masse en kilogramme";"Ukraine";0;0;0;25;0;0;180;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Norvège (yc Svalbard)";0;0;0;0;0;0;0;0;0;0;4947;0;0
"Exportation";"Masse en kilogramme";"Qatar";0;0;0;0;177;0;0;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Nouvelle-Zélande";0;0;0;0;0;14400;7;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Ouganda";0;0;0;0;0;0;0;0;0;0;50;0;0
"Exportation";"Masse en kilogramme";"Paraguay";0;0;0;0;0;0;0;0;0;0;0;18;0
"Exportation";"Masse en kilogramme";"Saint-Marin";0;0;0;0;0;0;0;0;0;0;100;0;0
"Exportation";"Masse en kilogramme";"Zimbabwe";25;0;0;0;0;0;0;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Taïwan";1130;800;0;51;0;1120;220;281;400;58;400;2222;0
"Exportation";"Masse en kilogramme";"Sénégal";5328;0;0;0;0;0;0;0;0;0;2664;0;0
"Exportation";"Masse en kilogramme";"Lettonie";25;50;100;50;25;150;125;0;0;0;0;450;0
"Exportation";"Masse en kilogramme";"Maroc";400;236;1372;0;40;2032;7050;1397;550;290;808;490;0
"Exportation";"Masse en kilogramme";"Mali";0;0;0;0;2978;0;0;3270;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Malte";0;0;0;100;972;0;0;1001;0;1;19;0;0
"Exportation";"Masse en kilogramme";"Mongolie";4;0;0;0;0;0;0;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Maurice";0;47;47;75;47;0;31;0;47;63;126;159;0
"Exportation";"Masse en kilogramme";"Andorre";0;0;0;0;0;0;3;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Nigéria";0;0;0;0;0;0;0;3800;0;6080;0;0;0
"Exportation";"Masse en kilogramme";"Libéria";5;0;0;0;0;0;0;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Sri Lanka";0;0;125;0;425;0;0;0;0;0;175;0;0
"Exportation";"Masse en kilogramme";"Liban";0;100;167;0;0;0;0;0;100;0;0;0;0
"Exportation";"Masse en kilogramme";"Irlande";0;2057;5900;6050;1910;2106;168;0;1900;0;136;7;0
"Exportation";"Masse en kilogramme";"Croatie";0;570;0;1;1;0;0;190;0;476;0;0;0
"Exportation";"Masse en kilogramme";"Iran";0;0;0;0;1;0;17;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Estonie";0;0;0;0;0;0;0;30;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Guinée";0;0;0;24380;0;0;0;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Géorgie";1;0;0;0;0;0;0;2;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Guatemala";0;0;0;0;0;0;0;0;0;0;400;0;0
"Exportation";"Masse en kilogramme";"Hong-Kong";0;0;0;0;0;0;3;0;0;20;0;0;0
"Exportation";"Masse en kilogramme";"Guyana";0;0;0;100;0;0;0;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Azerbaïdjan";0;0;0;0;0;0;0;0;0;0;35;0;0
"Exportation";"Masse en kilogramme";"Saint Barthelemy";0;0;0;300;0;0;0;0;110;0;0;0;0
"Exportation";"Masse en kilogramme";"Bénin";0;0;0;0;0;0;950;0;0;0;17131;0;0
"Exportation";"Masse en kilogramme";"Bahreïn";0;0;0;600;0;0;0;0;0;0;0;0;0
"Exportation";"Masse en kilogramme";"Chypre";0;199;0;0;100;0;0;75;0;0;100;0;0
"Exportation";"Masse en kilogramme";"Australie";0;20;800;20;320;540;0;0;976;1134;9;445;0
"Exportation";"Masse en kilogramme";"Emirats Arabes Unis";100;0;0;0;32;7;0;100;150;0;28;0;0
"Importation";"Valeur en euros";"Total";7717498;12828862;8659631;9851475;11551590;7610507;9047923;9441542;7060269;10773251;8212465;9282898;9346818
"Importation";"Valeur en euros";"Allemagne";1569497;2520603;2591303;2008575;1938737;1283911;1594107;1507053;662729;1432802;1785270;2482653;2146926
"Importation";"Valeur en euros";"Espagne";1166291;4260441;1519563;1503443;1691230;1192062;1334137;1830927;1843589;2308467;1848544;1104134;2078536
"Importation";"Valeur en euros";"Pays-Bas";1305844;1532934;1527129;1524792;1982203;1131480;2523435;1518187;1321183;1160388;1451314;1861497;1399994
"Importation";"Valeur en euros";"Malaysie";271807;825503;371671;984643;1360944;1027095;300749;897159;715395;1497912;1129326;1470493;915278
"Importation";"Valeur en euros";"Japon";358125;44360;132089;147858;282483;45762;72729;109821;152069;223282;161299;212434;554800
"Importation";"Valeur en euros";"Belgique";230994;1029995;474355;1254900;849865;370725;770148;1035677;264145;898199;597844;349907;485364
"Importation";"Valeur en euros";"Etats-Unis d Amérique";878454;748023;351495;538143;967951;755338;697537;414661;292853;1445515;266386;407321;434442
"Importation";"Valeur en euros";"Italie";485828;467383;415320;408951;463583;513926;418484;381772;470531;398021;103581;137334;406282
"Importation";"Valeur en euros";"Chine";311179;298754;99735;185386;259845;75102;219869;107532;198382;225792;112992;74502;356436
