"29159070 - Acides monocarboxyliques acycliques saturés, leurs anhydrides, halogénures, peroxydes et peroxyacides; leurs dérivés halogénés, sulfonés, nitrés ou nitrosés (à l’excl. des acides formique, acétique, mono-, di- ou trichloroacétiques, propionique, butanoïques, pentanoïques, palmitique, stéarique et laurique et de leurs sels et esters et de l'anhydride acétique)"
"Résultats  annuels 2025"
"Données brutes, CAF-FAB hors matériel militaire, non estimées des données sous le seuil de collecte et des données tardives"
"Pour les données annuelles : Valeurs en euros, masse en kilogrammes, pas de quantités disponibles pour ce produit "
"Pour les données mensuelles : Valeurs en euros, masse en kilogrammes, pas de quantités disponibles pour ce produit "
"Source : Lekiosque.finances.gouv.fr - Données extraites le : 31/03/2026"

Les données annuelles

"Exportations"
"Zone - Pays";"Valeur 2023";"Masse 2023";"Quantités 2023";"Valeur 2024";"Masse 2024";"Quantités 2024";"Valeur 2025";"Masse 2025";"Quantités 2025"
"Total";132428544;12789418;0;110382869;15282706;0;85920432;12670338;0
"Europe";80345626;6627807;0;61468151;7979606;0;55731020;8711995;0
"UE(27)";54308611;4851883;0;48478617;6288011;0;47991602;8022493;0
"UE14";52156831;4621368;0;47155428;6115960;0;45706404;7735370;0
"Zone Euro";51830326;4598263;0;46920349;6087262;0;45529863;7712041;0
"NEM";2151780;230515;0;1323189;172051;0;2285198;287123;0
"Afrique";4333119;198861;0;4614673;217433;0;3687750;208827;0
"Amérique";32124259;4547811;0;26899396;5282607;0;14882441;2937949;0
"Proche et Moyen-Orient";1443868;112476;0;833645;24087;0;613720;22324;0
"Asie";14165049;1296664;0;16541951;1765992;0;10778052;781427;0
"Divers non classifiés ailleurs";16623;5799;0;25053;12981;0;227449;7816;0
"Europe hors UE";26037015;1775924;0;12989534;1691595;0;7739418;689502;0
"Espagne";16565654;716421;0;12627266;782209;0;12099684;720452;0
"Etats-Unis d Amérique";29307618;4181200;0;23191311;4801659;0;11836766;2594905;0
"Allemagne";14124111;2137776;0;9149804;1557261;0;10510781;1831817;0
"Italie";9161905;625036;0;8410033;832488;0;8669530;1130031;0
"Belgique";3216314;632333;0;6473160;2352133;0;7115629;2520543;0
"Chine";3598085;402593;0;6697107;829578;0;4664269;432537;0
"Turquie";4755432;211413;0;4522565;194921;0;4101038;244809;0
"Inde";4581861;211587;0;3844234;251162;0;2732290;116532;0
"Pays-Bas";1479402;117297;0;1406109;115713;0;2717153;1309314;0
"Royaume-Uni";5154206;1112824;0;5958058;1370909;0;2216426;412962;0
"Afrique du Sud";1962903;55800;0;2275925;69588;0;2046618;57837;0
"Irlande";4402633;165384;0;6744792;286714;0;1927319;20234;0
"Corée du Sud";1467675;111729;0;2967578;380361;0;1613009;103868;0
"Pologne";1673143;185391;0;843530;117629;0;1467644;269987;0
"Suisse";14682562;342573;0;2471097;123365;0;1348871;24607;0
"Brésil";761122;79230;0;1181615;128139;0;1330204;156482;0
"Autres pays";15533918;1500831;0;11618685;1088877;0;9523201;723421;0

"Importations"
"Zone - Pays";"Valeur 2023";"Masse 2023";"Quantités 2023";"Valeur 2024";"Masse 2024";"Quantités 2024";"Valeur 2025";"Masse 2025";"Quantités 2025"
"Total";94739764;20468599;0;99487864;24314013;0;113667231;29210534;0
"Europe";73352024;16151028;0;78308214;19492220;0;87543870;22994005;0
"UE(27)";66119772;15964518;0;69093119;19403226;0;80641293;22914518;0
"UE14";63478573;13845562;0;66615078;17223423;0;77475765;20351772;0
"Zone Euro";62892161;13631801;0;65750893;16876904;0;76485800;20003063;0
"NEM";2641199;2118956;0;2478041;2179803;0;3165528;2562746;0
"Afrique";1865;250;0;212;1;0;2793;71;0
"Amérique";5302162;846205;0;6254092;1458892;0;7422446;1705009;0
"Proche et Moyen-Orient";143121;8179;0;145080;9027;0;251605;20502;0
"Asie";13791960;3246741;0;14058198;3319771;0;18116503;4462361;0
"Divers non classifiés ailleurs";2148632;216196;0;722068;34102;0;330014;28586;0
"Europe hors UE";7232252;186510;0;9215095;88994;0;6902577;79487;0
"Espagne";15487713;1413122;0;14943545;1745857;0;22515073;4926243;0
"Allemagne";19509505;3683975;0;20776182;4819948;0;21954669;5081534;0
"Pays-Bas";17374639;5416716;0;18787344;6575388;0;18934536;6490081;0
"Malaysie";5825775;1499329;0;4866422;2057484;0;11496168;3358649;0
"Belgique";7020178;2519356;0;6741425;2676255;0;8381124;2429284;0
"Etats-Unis d Amérique";5220942;838272;0;6033361;1370468;0;7319665;1695880;0
"Suisse";6698480;93703;0;8186442;39832;0;5474788;33837;0
"Italie";3348793;544201;0;4300455;978595;0;4585168;1029231;0
"Chine";4020733;985837;0;4499454;649164;0;2214327;513022;0
"Japon";1731278;110047;0;2744484;197699;0;2138986;146056;0
"Autres pays";8501728;3364041;0;7608750;3203323;0;8652727;3506717;0

Les données mensuelles
"Pour les données mensuelles : Valeurs en euros, masse en kilogrammes, pas de quantités disponibles pour ce produit "

"Flux";"Variable quantitative";"Libelle pays";"12.2024                  ";"01.2025                  ";"02.2025                  ";"03.2025                  ";"04.2025                  ";"05.2025                  ";"06.2025                  ";"07.2025                  ";"08.2025                  ";"09.2025                  ";"10.2025                  ";"11.2025                  ";"12.2025                  "
"Exportation";"Valeur en euros";"Total";8573177;6135152;10364707;7431117;8406528;5518019;9801664;8716772;5365090;7449334;6997771;5243896;4490382
"Exportation";"Valeur en euros";"Etats-Unis d Amérique";2994600;361925;2742586;606863;224166;267679;2440096;437843;1130959;796056;766194;866491;1195908
"Exportation";"Valeur en euros";"Espagne";400662;1032002;952615;1251016;1545685;701338;1107334;1038938;274389;1303848;1325394;958071;609054
"Exportation";"Valeur en euros";"Italie";556850;953295;767073;709924;596685;590997;920032;550547;531863;1089227;704265;699944;555678
"Exportation";"Valeur en euros";"Allemagne";444979;402754;682742;337011;1766304;1259585;1517534;1144671;512886;580732;1024892;788250;493420
"Exportation";"Valeur en euros";"Belgique";608864;1145618;189459;519798;572480;487480;837815;576637;662063;607159;749549;491608;275963
"Exportation";"Valeur en euros";"Finlande";4744;151454;122970;123292;41648;119957;30401;18645;124355;44852;236899;71;245665
"Exportation";"Valeur en euros";"Chine";904251;165246;86541;776886;659186;142471;449544;654954;254031;359528;630120;268210;217552
"Exportation";"Valeur en euros";"Corée du Sud";172834;83571;132148;299088;4442;228290;425225;157634;76616;10400;30740;9058;155797
"Exportation";"Valeur en euros";"Inde";152439;230360;323112;120711;361983;233767;397509;426387;271389;51068;48165;124950;142889
"Exportation";"Valeur en euros";"Colombie";8390;37632;43533;11183;43034;8375;55655;72414;423;53392;905;20970;107006
"Exportation";"Valeur en euros";"Canada";48472;27097;1831;72293;75632;3958;56042;13632;25581;37698;29044;39882;83561
"Exportation";"Valeur en euros";"Turquie";573269;36358;747180;425104;625452;95504;339493;693655;17107;475737;250617;347497;47334
"Exportation";"Valeur en euros";"Thaïlande";18191;11338;37084;25530;67190;22040;20018;37317;34079;17782;59173;16924;44575
"Exportation";"Valeur en euros";"Portugal";531;5201;42158;4131;71936;38038;734;10671;8141;38692;6907;23888;44157
"Exportation";"Valeur en euros";"Mexique";84771;83532;11169;30858;21217;15154;8540;7636;224945;29273;102168;18430;31595
"Exportation";"Valeur en euros";"Brésil";137170;169439;29151;155485;153902;31441;195305;166671;135945;39466;185666;44937;22796
"Exportation";"Valeur en euros";"Israël";6911;176410;0;3070;9262;785;7053;199189;614;16797;34125;6227;17478
"Exportation";"Valeur en euros";"Tunisie";12673;10636;102712;12637;89964;25358;139949;1952;35282;6742;225493;31850;15579
"Exportation";"Valeur en euros";"Egypte";6597;10524;43883;5938;26885;12988;3880;13535;0;41036;21294;3443;14940
"Exportation";"Valeur en euros";"Danemark";14492;4210;32024;1663;65707;16478;18226;79080;29963;4706;12867;23675;14229
"Exportation";"Valeur en euros";"Algérie";343644;0;2051;15600;2177;28449;68;183569;0;34658;5761;0;13278
"Exportation";"Valeur en euros";"Pakistan";9751;0;8557;2295;1660;4104;0;6604;3146;2274;0;4838;12234
"Exportation";"Valeur en euros";"Pays-Bas";2851;47124;680841;106669;99732;457;86318;1403644;217638;9419;28184;25049;12078
"Exportation";"Valeur en euros";"Chili";27087;0;17065;1672;32;866;11871;15656;6422;9368;36829;17460;11967
"Exportation";"Valeur en euros";"Royaume-Uni";814461;398549;812617;472421;152336;1864;70434;4343;205797;16424;25570;44342;11729
"Exportation";"Valeur en euros";"Grèce";70616;1871;7026;39903;2358;64834;30024;10881;4124;75619;24579;29627;11092
"Exportation";"Valeur en euros";"Nouvelle Calédonie";0;0;0;109;0;183;0;0;0;0;0;0;9098
"Exportation";"Valeur en euros";"République tchèque";13955;36464;0;14798;1813;1198;148;11311;0;150;212;6388;8718
"Exportation";"Valeur en euros";"Afrique du Sud";755;0;500737;0;488704;286218;176001;291098;0;295903;0;0;7957
"Exportation";"Valeur en euros";"Arabie Saoudite";0;79;12166;0;95;242;1600;5865;147;1355;4542;186;7754
"Exportation";"Valeur en euros";"Cambodge";0;0;0;1056;0;0;0;0;2090;0;0;0;7749
"Exportation";"Valeur en euros";"Pologne";33786;62052;50023;78244;252253;49138;116193;165009;186267;252543;94752;153730;7440
"Exportation";"Valeur en euros";"Suisse";1448;96515;281001;49868;191456;9170;169838;22935;21044;467561;11052;22737;5694
"Exportation";"Valeur en euros";"Bangladesh";3178;158;2985;0;6111;0;6346;1169;0;0;33232;20521;2821
"Exportation";"Valeur en euros";"Autriche";201;68;8;12;173;0;303;78;960;133;191;184;2739
"Exportation";"Valeur en euros";"Argentine";3765;79;3830;0;6783;589;1236;2372;0;79;1365;3146;2543
"Exportation";"Valeur en euros";"Indonésie";3045;35494;22207;9974;7007;26289;188;55943;10569;38049;58458;3004;2420
"Exportation";"Valeur en euros";"République dominicaine";2751;0;0;0;0;2807;0;0;0;24;2933;0;2211
