Année;Pays partenaire;Code NC8;Libellé produit;Flux;Valeur (kEUR);Masse nette (tonnes)
2023;Portugal;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Export;4470.6;40.2
2024;Portugal;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Export;3061.5;29.6
2023;Italie;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Export;2029.3;30.6
2024;Italie;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Export;2698.0;58.8
2023;Belgique;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Export;398.1;71.9
2024;Belgique;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Export;532.6;133.4
2023;Algérie;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Export;1299.3;134.6
2024;Algérie;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Export;1331.2;141.5
2023;Espagne;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Export;363.9;45.6
2024;Espagne;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Export;570.0;65.1
2023;Allemagne;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Export;688.7;45.2
2024;Allemagne;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Export;478.2;8.8
2023;Turquie;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Export;15.4;0.5
2024;Turquie;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Export;649.2;50.3
2023;Tunisie;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Export;308.2;11.0
2024;Tunisie;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Export;660.0;104.5
2023;Corée du Sud;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Export;33.4;5.9
2024;Corée du Sud;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Export;272.7;48.6
2023;Serbie;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Export;559.5;3.4
2024;Serbie;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Export;365.8;2.2
2023;Pologne;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Export;128.6;3.2
2024;Pologne;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Export;83.6;2.9
2023;Japon;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Import;7331.4;121.3
2024;Japon;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Import;7760.5;111.2
2023;Allemagne;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Import;8264.4;1828.8
2024;Allemagne;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Import;7076.6;1649.0
2023;Irlande;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Import;3490.2;446.5
2024;Irlande;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Import;7878.5;978.6
2023;Etats-Unis d Amérique;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Import;1404.5;94.9
2024;Etats-Unis d Amérique;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Import;2700.4;413.5
2023;Danemark;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Import;288.6;21.4
2024;Danemark;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Import;215.3;15.8
2023;Finlande;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Import;1017.2;114.1
2024;Finlande;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Import;1045.3;117.3
2023;Espagne;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Import;163.4;23.0
2024;Espagne;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Import;692.0;142.8
2023;Brésil;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Import;426.1;143.0
2024;Brésil;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Import;85.8;15.9
2023;Belgique;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Import;517.8;63.2
2024;Belgique;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Import;333.1;55.5
2023;Chine;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Import;237.3;26.7
2024;Chine;39129090;Cellulose et ses dérivés chimiques, n.d.a. (MCC);Import;316.4;29.2
