Année;Pays partenaire;Code NC8;Libellé produit;Flux;Valeur (kEUR);Masse nette (tonnes)
2023;Etats-Unis d Amérique;29054300;Mannitol;Export;17912.9;1552.5
2023;Pays-Bas;29054300;Mannitol;Export;8146.9;870.8
2023;Allemagne;29054300;Mannitol;Export;12658.1;1801.0
2023;Espagne;29054300;Mannitol;Export;10811.6;1296.7
2023;Inde;29054300;Mannitol;Export;8105.5;1543.5
2023;Royaume-Uni;29054300;Mannitol;Export;9775.2;954.8
2023;Italie;29054300;Mannitol;Export;9495.9;1184.7
2023;République tchèque;29054300;Mannitol;Export;6760.1;628.4
2023;Japon;29054300;Mannitol;Export;7226.8;1488.8
2023;Turquie;29054300;Mannitol;Export;5412.9;505.8
2023;Suède;29054300;Mannitol;Export;3339.9;339.4
2023;Chine;29054300;Mannitol;Export;5036.2;856.4
2023;Autriche;29054300;Mannitol;Export;1657.4;161.0
2023;Malte;29054300;Mannitol;Export;1326.4;114.4
2023;Chine;29054300;Mannitol;Import;2702.2;861.7
2023;Italie;29054300;Mannitol;Import;903.3;162.8
2023;Belgique;29054300;Mannitol;Import;1478.6;277.8
2023;Etats-Unis d Amérique;29054300;Mannitol;Import;1889.2;153.6
2023;Allemagne;29054300;Mannitol;Import;811.3;69.7
2023;Retour France;29054300;Mannitol;Import;80.6;12.4
