Année;Pays partenaire;Code NC8;Libellé produit;Flux;Valeur (kEUR);Masse nette (tonnes)
2023;Italie;39053000;Poly[alcool vinylique] / PVP-Povidone proxy;Export;1601.7;340.7
2023;Allemagne;39053000;Poly[alcool vinylique] / PVP-Povidone proxy;Export;832.8;80.7
2023;Autriche;39053000;Poly[alcool vinylique] / PVP-Povidone proxy;Export;146.1;2.6
2023;Turquie;39053000;Poly[alcool vinylique] / PVP-Povidone proxy;Export;62.8;17.0
2023;Pologne;39053000;Poly[alcool vinylique] / PVP-Povidone proxy;Export;125.7;15.4
2023;Hongrie;39053000;Poly[alcool vinylique] / PVP-Povidone proxy;Export;221.2;17.0
2023;Royaume-Uni;39053000;Poly[alcool vinylique] / PVP-Povidone proxy;Export;165.1;62.4
2023;Portugal;39053000;Poly[alcool vinylique] / PVP-Povidone proxy;Export;353.2;65.5
2023;Espagne;39053000;Poly[alcool vinylique] / PVP-Povidone proxy;Export;16.0;2.7
2023;République tchèque;39053000;Poly[alcool vinylique] / PVP-Povidone proxy;Export;58.9;5.5
2023;Belgique;39053000;Poly[alcool vinylique] / PVP-Povidone proxy;Export;209.7;52.6
2023;Slovénie;39053000;Poly[alcool vinylique] / PVP-Povidone proxy;Export;81.2;1.8
2023;Irlande;39053000;Poly[alcool vinylique] / PVP-Povidone proxy;Export;76.7;20.1
2023;Allemagne;39053000;Poly[alcool vinylique] / PVP-Povidone proxy;Import;15147.7;3413.0
2023;Japon;39053000;Poly[alcool vinylique] / PVP-Povidone proxy;Import;6199.0;1033.8
2023;Chine;39053000;Poly[alcool vinylique] / PVP-Povidone proxy;Import;3182.8;1005.5
2023;Royaume-Uni;39053000;Poly[alcool vinylique] / PVP-Povidone proxy;Import;3059.5;467.4
2023;Pays-Bas;39053000;Poly[alcool vinylique] / PVP-Povidone proxy;Import;4150.2;921.7
2023;Taïwan;39053000;Poly[alcool vinylique] / PVP-Povidone proxy;Import;2647.9;738.2
2023;Italie;39053000;Poly[alcool vinylique] / PVP-Povidone proxy;Import;1767.8;985.8
2023;Retour France;39053000;Poly[alcool vinylique] / PVP-Povidone proxy;Import;257.6;54.2
2023;Espagne;39053000;Poly[alcool vinylique] / PVP-Povidone proxy;Import;1170.4;308.3
2023;Belgique;39053000;Poly[alcool vinylique] / PVP-Povidone proxy;Import;882.1;201.3
