"39123100 - Carboxyméthylcellulose et ses sels, sous formes primaires"
"Résultats  annuels 2025"
"Données brutes, CAF-FAB hors matériel militaire, non estimées des données sous le seuil de collecte et des données tardives"
"Pour les données annuelles : Valeurs en euros, masse en kilogrammes, pas de quantités disponibles pour ce produit "
"Pour les données mensuelles : Valeurs en euros, masse en kilogrammes, pas de quantités disponibles pour ce produit "
"Source : Lekiosque.finances.gouv.fr - Données extraites le : 31/03/2026"

Les données annuelles

"Exportations"
"Zone - Pays";"Valeur 2023";"Masse 2023";"Quantités 2023";"Valeur 2024";"Masse 2024";"Quantités 2024";"Valeur 2025";"Masse 2025";"Quantités 2025"
"Total";59453641;10945978;0;71231021;14209721;0;71427615;14130510;0
"Europe";35698048;7082351;0;35668425;7503858;0;31803960;6846952;0
"UE(27)";28284535;5829006;0;29828907;6343753;0;25656020;5392843;0
"UE14";21177285;4486718;0;22725975;4969179;0;17015088;3760506;0
"Zone Euro";15501288;3515214;0;13971161;3270388;0;12902314;3060753;0
"NEM";7107250;1342288;0;7102932;1374574;0;8640932;1632337;0
"Afrique";4599207;561492;0;2960510;416319;0;2692799;356816;0
"Amérique";3564185;737294;0;13464920;3156729;0;18004761;3958833;0
"Proche et Moyen-Orient";742658;108203;0;1005571;169832;0;1109913;176342;0
"Asie";14849493;2456628;0;18131595;2962983;0;17816147;2791566;0
"Divers non classifiés ailleurs";50;10;0;0;0;0;35;1;0
"Europe hors UE";7413513;1253345;0;5839518;1160105;0;6147940;1454109;0
"Etats-Unis d Amérique";1712648;406046;0;8405226;2137439;0;11646336;2706442;0
"Chine";2686020;523996;0;2786420;524884;0;5202234;735789;0
"Hongrie";2809386;415390;0;3191846;449875;0;5124111;756253;0
"Royaume-Uni";5735945;1057384;0;4517293;1000147;0;4932553;1292551;0
"Allemagne";4124012;962266;0;4606991;1152062;0;4442490;1134158;0
"Danemark";5465977;935731;0;8159259;1625508;0;4099720;706569;0
"Inde";2693695;386664;0;3346566;368885;0;3134593;352175;0
"Corée du Sud";2227717;238170;0;3294291;414975;0;2482672;308780;0
"République dominicaine";337927;61378;0;1634456;355907;0;2478477;524105;0
"Pologne";2488244;651028;0;2107037;617599;0;1973156;604014;0
"Irlande";3950711;938922;0;2109848;531912;0;1624474;420770;0
"Indonésie";1999427;401875;0;2744342;581552;0;1620785;380926;0
"Pakistan";1346162;247925;0;1447216;280525;0;1474048;281150;0
"Espagne";1202131;249800;0;1155497;273230;0;1360614;297866;0
"Italie";1343625;372985;0;1288388;362532;0;1354557;372882;0
"Autriche";1094949;233613;0;1215931;228417;0;1186240;224850;0
"Autres pays";18235065;2862805;0;19220414;3304272;0;17290555;3031230;0

"Importations"
"Zone - Pays";"Valeur 2023";"Masse 2023";"Quantités 2023";"Valeur 2024";"Masse 2024";"Quantités 2024";"Valeur 2025";"Masse 2025";"Quantités 2025"
"Total";15899331;3637719;0;11359867;2952037;0;9854737;2464847;0
"Europe";13243329;3186709;0;10153778;2725137;0;8135138;2179419;0
"UE(27)";12999118;3114020;0;10019767;2683775;0;7957688;2125759;0
"UE14";12995385;3113750;0;10000469;2681147;0;7927361;2121732;0
"Zone Euro";12981516;3113250;0;9913608;2668997;0;7893499;2119382;0
"NEM";3733;270;0;19298;2628;0;30327;4027;0
"Amérique";568912;54605;0;312563;28457;0;662398;64978;0
"Proche et Moyen-Orient";591;44;0;45282;6000;0;71;20;0
"Asie";775933;141770;0;691224;170583;0;839375;171760;0
"Divers non classifiés ailleurs";1310566;254591;0;157020;21860;0;217755;48670;0
"Europe hors UE";244211;72689;0;134011;41362;0;177450;53660;0
"Allemagne";3071098;319208;0;1737274;386048;0;2608756;417536;0
"Pays-Bas";1575834;308011;0;3124489;276464;0;1690310;298003;0
"Italie";1323146;513550;0;1514650;613256;0;1337968;529410;0
"Brésil";539722;53125;0;252562;24002;0;625893;62800;0
"Autriche";1453051;554400;0;1047499;436650;0;560147;251051;0
"Finlande";1190651;287021;0;809905;224960;0;548012;173655;0
"Irlande";2402005;300735;0;867449;83157;0;473482;25260;0
"Chine";499499;120103;0;551747;159027;0;446649;135883;0
"Belgique";1613228;742541;0;584037;590998;0;401914;326885;0
"Espagne";350113;85784;0;227621;57325;0;260130;85582;0
"Inde";220143;17220;0;122380;10504;0;235224;19147;0
"Retour France";1233893;244830;0;152782;21596;0;194949;47330;0
"Autres pays";426948;91191;0;367472;68050;0;471303;92305;0

Les données mensuelles
"Pour les données mensuelles : Valeurs en euros, masse en kilogrammes, pas de quantités disponibles pour ce produit "

"Flux";"Variable quantitative";"Libelle pays";"12.2024                  ";"01.2025                  ";"02.2025                  ";"03.2025                  ";"04.2025                  ";"05.2025                  ";"06.2025                  ";"07.2025                  ";"08.2025                  ";"09.2025                  ";"10.2025                  ";"11.2025                  ";"12.2025                  "
"Exportation";"Valeur en euros";"Total";6393329;5583985;6329564;7498371;6572515;6889208;5025346;5067036;5713569;7167678;4980072;5370272;5229999
"Exportation";"Valeur en euros";"Etats-Unis d Amérique";1534185;718216;701717;1305275;1778864;1698493;596632;1006798;1070184;1057501;309864;727342;675450
"Exportation";"Valeur en euros";"Hongrie";17876;413071;147838;526557;246841;552045;530343;382160;498643;508013;291731;372632;654237
"Exportation";"Valeur en euros";"Chine";183728;446827;285802;385894;270077;712920;358871;174946;386561;337456;374043;1059259;409578
"Exportation";"Valeur en euros";"Inde";276834;149744;273583;493136;159718;372880;185384;157110;137072;465362;206323;196933;337348
"Exportation";"Valeur en euros";"Royaume-Uni";221994;535069;272667;310851;504351;385966;375793;519395;369916;553565;715214;126550;263216
"Exportation";"Valeur en euros";"Pologne";143726;146260;235921;85972;67625;177799;157237;125003;256998;129816;261177;91677;237671
"Exportation";"Valeur en euros";"Espagne";58813;124357;138495;153697;59715;108822;133549;93488;100093;107853;83909;71787;184849
"Exportation";"Valeur en euros";"Indonésie";285740;0;98959;519374;72832;88437;78459;138379;52824;260476;0;129703;181342
"Exportation";"Valeur en euros";"République tchèque";1940;11096;39569;70232;36593;18274;39214;69287;5611;38952;71696;15245;159048
"Exportation";"Valeur en euros";"Corée du Sud";809837;179746;137932;621465;140178;47279;3465;407447;252812;114877;307450;114511;155510
"Exportation";"Valeur en euros";"Irlande";74603;125114;238900;78557;153259;151700;74580;78795;78284;174564;150362;171098;149261
"Exportation";"Valeur en euros";"Allemagne";147906;394225;539392;337146;408352;409626;271766;256825;300878;683583;466614;242661;131422
"Exportation";"Valeur en euros";"Philippines";74131;14453;170;193707;95180;149057;0;9809;216854;100866;0;0;124773
"Exportation";"Valeur en euros";"Pakistan";178151;82868;247199;44257;67421;135759;61159;278530;0;39588;37428;359383;120456
