"39053000 - Poly[alcool vinylique], même contenant des groupes acétate non hydrolysés, sous formes primaires"
"Résultats  annuels 2025"
"Données brutes, CAF-FAB hors matériel militaire, non estimées des données sous le seuil de collecte et des données tardives"
"Pour les données annuelles : Valeurs en euros, masse en kilogrammes, pas de quantités disponibles pour ce produit "
"Pour les données mensuelles : Valeurs en euros, masse en kilogrammes, pas de quantités disponibles pour ce produit "
"Source : Lekiosque.finances.gouv.fr - Données extraites le : 27/03/2026"

Les données annuelles

"Exportations"
"Zone - Pays";"Valeur 2023";"Masse 2023";"Quantités 2023";"Valeur 2024";"Masse 2024";"Quantités 2024";"Valeur 2025";"Masse 2025";"Quantités 2025"
"Total";4534264;796981;0;2546555;460279;0;2735131;543831;0
"Europe";4501080;793850;0;2476126;452511;0;2650696;514268;0
"UE(27)";4179086;695326;0;2330232;394648;0;2351541;361279;0
"UE14";3635448;645800;0;1861959;342572;0;1913739;309445;0
"Zone Euro";3713179;647342;0;1935002;344449;0;1979983;310890;0
"NEM";543638;49526;0;468273;52076;0;437802;51834;0
"Afrique";20018;2765;0;11711;1367;0;26938;11651;0
"Amérique";9348;254;0;20900;342;0;12289;183;0
"Proche et Moyen-Orient";58;0;0;216;22;0;325;21;0
"Asie";3760;112;0;37602;6037;0;44883;17708;0
"Europe hors UE";321994;98524;0;145894;57863;0;299155;152989;0
"Italie";1601732;340659;0;781923;157749;0;737239;206426;0
"Allemagne";832805;80663;0;437926;34245;0;593231;21188;0
"Autriche";146071;2560;0;165959;2858;0;261422;4201;0
"Turquie";62772;17026;0;10900;4000;0;197053;125992;0
"Pologne";125677;15371;0;131966;18773;0;144580;14860;0
"Hongrie";221230;17036;0;180458;23511;0;130675;21275;0
"Royaume-Uni";165106;62392;0;134410;53821;0;101081;26847;0
"Portugal";353161;65497;0;208096;37413;0;101038;18387;0
"Espagne";16034;2673;0;20517;4158;0;99261;18447;0
"République tchèque";58945;5545;0;75583;7138;0;89219;13645;0
"Belgique";209721;52571;0;136130;52676;0;61571;23742;0
"Slovénie";81225;1812;0;54380;1246;0;56227;1250;0
"Irlande";76716;20094;0;66600;23500;0;44250;15000;0
"Autres pays";583069;113082;0;141707;39191;0;118284;32571;0

"Importations"
"Zone - Pays";"Valeur 2023";"Masse 2023";"Quantités 2023";"Valeur 2024";"Masse 2024";"Quantités 2024";"Valeur 2025";"Masse 2025";"Quantités 2025"
"Total";39438069;9309383;0;37023093;11990253;0;34396424;9931621;0
"Europe";26197208;6303298;0;22198561;7835592;0;19025522;5971153;0
"UE(27)";23131391;5835188;0;19546517;7376783;0;16821799;5639467;0
"UE14";23122096;5833189;0;19546471;7376775;0;16814933;5634067;0
"Zone Euro";23122096;5833189;0;19546435;7376769;0;16814917;5634065;0
"NEM";9295;1999;0;46;8;0;6866;5400;0
"Afrique";2730;888;0;0;0;0;0;0;0
"Amérique";750959;132273;0;386289;50923;0;266431;45867;0
"Asie";12225085;2817549;0;13515839;3901129;0;13805337;3617483;0
"Divers non classifiés ailleurs";262087;55375;0;922404;202609;0;1299134;297118;0
"Europe hors UE";3065817;468110;0;2652044;458809;0;2203723;331686;0
"Allemagne";15147678;3413036;0;12593487;4573604;0;11359990;3147746;0
"Japon";6198997;1033769;0;5604220;1012664;0;7380527;1220409;0
"Chine";3182806;1005535;0;4432717;1731545;0;4324041;1699465;0
"Royaume-Uni";3059470;467398;0;2647522;458080;0;2200760;331342;0
"Pays-Bas";4150172;921709;0;3097150;1046067;0;2087328;776572;0
"Taïwan";2647947;738245;0;2828138;1054280;0;1631847;617879;0
"Italie";1767811;985824;0;1682540;1112307;0;1576423;1095588;0
"Retour France";257611;54218;0;918134;202400;0;1287421;296699;0
"Espagne";1170361;308282;0;1026902;320924;0;919653;316102;0
"Belgique";882093;201338;0;1109286;276867;0;808934;202350;0
"Autres pays";973123;180029;0;1082997;201515;0;819500;227469;0

Les données mensuelles
"Pour les données mensuelles : Valeurs en euros, masse en kilogrammes, pas de quantités disponibles pour ce produit "

"Flux";"Variable quantitative";"Libelle pays";"12.2024                  ";"01.2025                  ";"02.2025                  ";"03.2025                  ";"04.2025                  ";"05.2025                  ";"06.2025                  ";"07.2025                  ";"08.2025                  ";"09.2025                  ";"10.2025                  ";"11.2025                  ";"12.2025                  "
"Exportation";"Valeur en euros";"Total";77724;170716;188637;359411;289652;213359;258746;202219;245626;198700;366248;145877;95940
"Exportation";"Valeur en euros";"Espagne";1172;2259;2693;2548;4243;13308;19649;2573;1715;923;4509;1591;43250
"Exportation";"Valeur en euros";"République tchèque";10608;0;715;10608;1056;11824;1206;21216;0;599;1247;21954;18794
"Exportation";"Valeur en euros";"Pologne";0;28321;10008;14545;28690;670;5300;10346;11536;3413;14762;1791;15198
"Exportation";"Valeur en euros";"Allemagne";11318;5209;10589;176946;34667;12583;157191;0;88467;3729;89375;4613;9862
"Exportation";"Valeur en euros";"Chine";474;57;474;11680;0;0;94;141;0;0;0;5816;5740
"Exportation";"Valeur en euros";"Brésil";0;158;203;79;0;0;0;79;0;495;158;0;1476
"Exportation";"Valeur en euros";"Finlande";0;0;0;0;0;0;131;0;0;8500;0;0;470
"Exportation";"Valeur en euros";"Lituanie";0;0;0;0;0;0;0;0;204;0;0;0;260
"Exportation";"Valeur en euros";"Croatie";0;0;0;0;0;0;78;121;0;0;0;0;242
"Exportation";"Valeur en euros";"Suède";0;0;0;700;0;117;0;0;0;756;0;140;182
"Exportation";"Valeur en euros";"Suisse";0;0;161;219;20;49;27;125;0;0;31;77;145
"Exportation";"Valeur en euros";"Afrique du Sud";0;0;0;0;0;0;0;0;69;67;0;0;134
"Exportation";"Valeur en euros";"Maroc";35;4075;235;87;0;558;83;0;52;17;0;0;70
"Exportation";"Valeur en euros";"Portugal";2962;5702;401;691;531;320;348;46943;264;0;39928;5849;61
"Exportation";"Valeur en euros";"Slovaquie";0;0;0;0;0;0;0;0;0;39;0;0;56
"Exportation";"Valeur en euros";"Slovénie";0;0;2650;0;0;0;0;53577;0;0;0;0;0
"Exportation";"Valeur en euros";"Turquie";0;54;0;0;35004;0;0;7420;0;6308;75065;73202;0
"Exportation";"Valeur en euros";"Roumanie";0;78;0;650;0;1821;157;0;0;0;0;0;0
"Exportation";"Valeur en euros";"Singapour";0;0;0;28;0;0;0;155;0;0;0;0;0
"Exportation";"Valeur en euros";"Lettonie";0;0;0;9722;0;0;0;0;0;0;0;0;0
"Exportation";"Valeur en euros";"Malte";0;0;0;0;0;0;360;0;0;0;0;0;0
"Exportation";"Valeur en euros";"Mexique";0;0;0;0;0;0;0;969;0;0;0;79;0
"Exportation";"Valeur en euros";"Pakistan";0;0;0;0;0;2992;0;0;0;0;0;0;0
"Exportation";"Valeur en euros";"Pays-Bas";0;926;369;196;158;690;0;319;0;27;737;0;0
"Exportation";"Valeur en euros";"Pérou";0;0;0;0;1178;0;0;0;0;0;0;2453;0
"Exportation";"Valeur en euros";"Hongrie";12556;7929;0;0;0;56056;0;929;63979;0;1782;0;0
"Exportation";"Valeur en euros";"Irlande";0;0;14750;0;0;14750;0;0;0;14750;0;0;0
"Exportation";"Valeur en euros";"Israël";0;0;0;0;0;105;0;0;0;0;0;0;0
"Exportation";"Valeur en euros";"Corée du Sud";0;0;0;0;0;0;132;0;0;0;0;0;0
"Exportation";"Valeur en euros";"Inde";0;0;4851;79;0;0;0;0;158;12154;0;0;0
"Exportation";"Valeur en euros";"Italie";5679;31095;105381;78501;145159;60752;73279;37164;32831;71669;90832;10576;0
"Exportation";"Valeur en euros";"Japon";0;0;0;1;0;0;0;0;0;0;0;0;0
"Exportation";"Valeur en euros";"Royaume-Uni";31000;0;121;17300;2740;0;8;266;7016;46508;11000;16122;0
"Exportation";"Valeur en euros";"Grèce";62;0;99;0;99;0;0;0;0;0;0;0;0
"Exportation";"Valeur en euros";"Danemark";0;0;0;0;0;0;0;1111;0;0;0;0;0
"Exportation";"Valeur en euros";"Algérie";0;0;0;0;732;0;452;0;0;0;0;0;0
