Année;Pays partenaire;Code NC8;Libellé produit;Flux;Valeur (kEUR);Masse nette (tonnes)
2023;Espagne;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Export;16565.7;716.4
2024;Espagne;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Export;12627.3;782.2
2023;Etats-Unis d Amérique;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Export;29307.6;4181.2
2024;Etats-Unis d Amérique;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Export;23191.3;4801.7
2023;Allemagne;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Export;14124.1;2137.8
2024;Allemagne;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Export;9149.8;1557.3
2023;Italie;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Export;9161.9;625.0
2024;Italie;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Export;8410.0;832.5
2023;Belgique;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Export;3216.3;632.3
2024;Belgique;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Export;6473.2;2352.1
2023;Chine;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Export;3598.1;402.6
2024;Chine;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Export;6697.1;829.6
2023;Turquie;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Export;4755.4;211.4
2024;Turquie;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Export;4522.6;194.9
2023;Inde;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Export;4581.9;211.6
2024;Inde;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Export;3844.2;251.2
2023;Pays-Bas;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Export;1479.4;117.3
2024;Pays-Bas;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Export;1406.1;115.7
2023;Royaume-Uni;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Export;5154.2;1112.8
2024;Royaume-Uni;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Export;5958.1;1370.9
2023;Afrique du Sud;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Export;1962.9;55.8
2024;Afrique du Sud;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Export;2275.9;69.6
2023;Irlande;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Export;4402.6;165.4
2024;Irlande;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Export;6744.8;286.7
2023;Corée du Sud;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Export;1467.7;111.7
2024;Corée du Sud;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Export;2967.6;380.4
2023;Pologne;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Export;1673.1;185.4
2024;Pologne;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Export;843.5;117.6
2023;Suisse;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Export;14682.6;342.6
2024;Suisse;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Export;2471.1;123.4
2023;Brésil;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Export;761.1;79.2
2024;Brésil;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Export;1181.6;128.1
2023;Espagne;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Import;15487.7;1413.1
2024;Espagne;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Import;14943.5;1745.9
2023;Allemagne;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Import;19509.5;3684.0
2024;Allemagne;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Import;20776.2;4819.9
2023;Pays-Bas;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Import;17374.6;5416.7
2024;Pays-Bas;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Import;18787.3;6575.4
2023;Malaysie;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Import;5825.8;1499.3
2024;Malaysie;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Import;4866.4;2057.5
2023;Belgique;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Import;7020.2;2519.4
2024;Belgique;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Import;6741.4;2676.3
2023;Etats-Unis d Amérique;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Import;5220.9;838.3
2024;Etats-Unis d Amérique;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Import;6033.4;1370.5
2023;Suisse;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Import;6698.5;93.7
2024;Suisse;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Import;8186.4;39.8
2023;Italie;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Import;3348.8;544.2
2024;Italie;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Import;4300.5;978.6
2023;Chine;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Import;4020.7;985.8
2024;Chine;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Import;4499.5;649.2
2023;Japon;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Import;1731.3;110.0
2024;Japon;29159070;Acides monocarboxyliques acycliques saturés (Stéarate de Magnésium);Import;2744.5;197.7
