"39129090 - Cellulose et ses dérivés chimiques, n.d.a., sous formes primaires (à l'excl. des acétates, nitrates, éthers et esters de cellulose)"
"Résultats  annuels 2025"
"Données brutes, CAF-FAB hors matériel militaire, non estimées des données sous le seuil de collecte et des données tardives"
"Pour les données annuelles : Valeurs en euros, masse en kilogrammes, pas de quantités disponibles pour ce produit "
"Pour les données mensuelles : Valeurs en euros, masse en kilogrammes, pas de quantités disponibles pour ce produit "
"Source : Lekiosque.finances.gouv.fr - Données extraites le : 27/03/2026"

Les données annuelles

"Exportations"
"Zone - Pays";"Valeur 2023";"Masse 2023";"Quantités 2023";"Valeur 2024";"Masse 2024";"Quantités 2024";"Valeur 2025";"Masse 2025";"Quantités 2025"
"Exportation";"Valeur en euros";"Suisse";0;5;0;763;10;0;146;58034;12811;4637;2633;2338;0
"Exportation";"Valeur en euros";"Bénin";0;0;0;3062;0;0;0;0;0;0;0;0;0
"Exportation";"Valeur en euros";"Antigua et Barbuda";0;0;0;0;0;0;0;0;0;71;0;0;0
"Exportation";"Valeur en euros";"Argentine";0;79;0;0;0;0;0;0;0;0;0;158;0
"Exportation";"Valeur en euros";"Autriche";0;0;0;0;0;0;0;176;6779;0;0;5;0
"Exportation";"Valeur en euros";"Lettonie";0;2378;0;0;0;2378;0;4756;0;0;0;0;0
"Exportation";"Valeur en euros";"Moldova";0;0;0;4591;0;0;0;0;0;210;0;0;0
"Exportation";"Valeur en euros";"Madagascar";0;0;0;0;0;0;0;0;0;0;2654;0;0
"Exportation";"Valeur en euros";"Malaysie";0;0;0;0;0;0;0;150;0;0;0;0;0
"Exportation";"Valeur en euros";"Mali";46;0;0;0;0;0;0;0;0;0;0;0;0
"Exportation";"Valeur en euros";"Mexique";0;0;0;0;0;316;0;0;79;0;0;1767;0
"Exportation";"Valeur en euros";"Jordanie";0;0;0;0;0;0;0;0;0;0;0;316;0
"Exportation";"Valeur en euros";"Corée du Sud";50422;0;0;33488;0;0;0;33600;27552;137558;147002;41149;0
"Exportation";"Valeur en euros";"Liban";0;0;0;0;0;0;0;344;0;0;0;0;0
"Exportation";"Valeur en euros";"Lituanie";0;0;0;0;0;0;0;0;0;0;700;0;0
"Exportation";"Valeur en euros";"Luxembourg";0;0;1915;11;40;0;0;0;2602;3;0;0;0
"Exportation";"Valeur en euros";"Togo";0;0;0;0;0;0;0;175;187;0;0;0;0
"Exportation";"Valeur en euros";"Thaïlande";0;0;0;3;0;0;0;501;0;0;0;0;0
"Exportation";"Valeur en euros";"Sénégal";0;0;1156;0;0;0;0;0;0;7950;0;0;0
"Exportation";"Valeur en euros";"Slovénie";0;0;2341;48;0;0;13056;0;0;2077;1654;3900;0
"Exportation";"Valeur en euros";"Slovaquie";6;2345;6;29;22;0;603;0;0;17;250;0;0
"Exportation";"Valeur en euros";"Polynésie française";0;0;0;0;0;0;0;0;0;0;32;0;0
"Exportation";"Valeur en euros";"Roumanie";0;125;0;841;0;0;1682;3110;0;3390;0;3390;0
"Exportation";"Valeur en euros";"Russie";21500;53596;29426;13634;0;14032;0;9222;3203;0;6017;7260;0
"Exportation";"Valeur en euros";"Arabie Saoudite";0;0;0;0;0;0;16116;0;0;0;0;0;0
"Exportation";"Valeur en euros";"Suède";4325;735;6;845;222;1045;267;2861;101;0;0;9975;0
"Exportation";"Valeur en euros";"Singapour";0;0;0;0;6;0;0;0;0;0;0;0;0
"Exportation";"Valeur en euros";"Taïwan";0;391;0;0;0;0;0;0;0;0;0;0;0
"Exportation";"Valeur en euros";"Etats-Unis d Amérique";10115;22423;65;18;3431;477;1133;1564;32;20077;33323;27089;0
