"29054300 - Mannitol"
"Résultats  annuels 2025"
"Données brutes, CAF-FAB hors matériel militaire, non estimées des données sous le seuil de collecte et des données tardives"
"Pour les données annuelles : Valeurs en euros, masse en kilogrammes, pas de quantités disponibles pour ce produit "
"Pour les données mensuelles : Valeurs en euros, masse en kilogrammes, pas de quantités disponibles pour ce produit "
"Source : Lekiosque.finances.gouv.fr - Données extraites le : 27/03/2026"

Les données annuelles

"Exportations"
"Zone - Pays";"Valeur 2023";"Masse 2023";"Quantités 2023";"Valeur 2024";"Masse 2024";"Quantités 2024";"Valeur 2025";"Masse 2025";"Quantités 2025"
"Exportation";"Valeur en euros";"Nouvelle-Zélande";0;0;0;0;0;0;0;229;0;0;0;0;2029
"Exportation";"Valeur en euros";"Taïwan";19976;8957;0;210;18637;0;28740;244;0;11551;57674;0;956
"Exportation";"Valeur en euros";"Slovénie";48701;34015;46390;62241;54030;69710;11565;7772;62380;34452;18754;111679;284
"Exportation";"Valeur en euros";"Brésil";32219;25039;63550;278116;14359;35770;41578;139307;3817;184872;123558;3094;196
"Exportation";"Valeur en euros";"Mexique";117084;280486;214452;340842;0;96962;108265;96178;96598;94998;455922;111;91
"Exportation";"Valeur en euros";"Singapour";43;0;78;14887;0;73;0;13;7982;0;13;0;39
"Exportation";"Valeur en euros";"Slovaquie";0;0;0;0;0;0;27;0;0;0;0;0;0
"Exportation";"Valeur en euros";"Portugal";0;0;225;145;27;3241;297;6650;1607;147;138;128;0
"Exportation";"Valeur en euros";"Roumanie";0;0;0;187451;0;0;11;0;0;0;187919;0;0
"Exportation";"Valeur en euros";"Arabie Saoudite";0;79;0;0;356268;0;0;79;0;0;174002;0;0
"Exportation";"Valeur en euros";"Vietnam";221158;36198;5728;67008;53046;16229;7934;119743;49248;63703;65811;0;0
"Exportation";"Valeur en euros";"Serbie";103165;454281;81881;114487;221128;0;163040;11305;263399;0;15074;165691;0
"Exportation";"Valeur en euros";"Uruguay";0;0;0;75;0;0;395;79;0;158;237;0;0
"Exportation";"Valeur en euros";"Ouganda";0;0;0;0;0;0;0;0;158;0;0;0;0
"Exportation";"Valeur en euros";"Lettonie";301;0;0;0;0;0;0;0;0;0;0;0;0
"Exportation";"Valeur en euros";"Maroc";0;0;7700;158;0;0;0;158;0;79;32;15588;0
"Exportation";"Valeur en euros";"Koweit";0;0;0;0;0;285;0;0;0;0;0;0;0
"Exportation";"Valeur en euros";"Norvège (yc Svalbard)";93;0;0;61362;0;0;0;0;61524;0;0;61363;0
"Exportation";"Valeur en euros";"Malaysie";36127;0;0;0;32347;0;0;0;8081;13044;34399;0;0
"Exportation";"Valeur en euros";"Panama";72542;0;0;0;0;0;0;118058;0;0;0;0;0
"Exportation";"Valeur en euros";"Pérou";0;0;0;83497;0;0;0;0;0;0;0;0;0
"Exportation";"Valeur en euros";"Philippines";0;51147;0;57685;0;0;54639;0;54824;0;0;0;0
"Exportation";"Valeur en euros";"Pakistan";0;0;0;0;0;2631;0;0;0;0;0;0;0
"Exportation";"Valeur en euros";"Estonie";0;0;0;0;0;0;565;0;0;0;0;0;0
"Exportation";"Valeur en euros";"Algérie";6917;9928;7608;38112;0;37445;30420;14539;0;2919;0;0;0
"Exportation";"Valeur en euros";"Equateur";0;0;0;0;0;0;0;0;0;0;0;79;0
"Exportation";"Valeur en euros";"Hongrie";0;134591;174200;134591;16980;134591;0;0;37250;134684;16980;317191;0
"Exportation";"Valeur en euros";"Hong-Kong";51453;0;8;0;0;0;2007;0;189;1602;0;0;0
"Exportation";"Valeur en euros";"Croatie";0;32710;18158;0;12979;16355;0;48090;0;0;36799;12979;0
"Exportation";"Valeur en euros";"Bulgarie";0;47;0;6526;0;27027;6526;53541;0;54101;0;20662;0
"Exportation";"Valeur en euros";"Suisse";44980;49180;103391;145497;7567;0;188526;91684;114379;98700;115;20986;0
"Exportation";"Valeur en euros";"Colombie";0;0;0;0;12380;42002;5026;0;11505;41151;0;19363;0
"Exportation";"Valeur en euros";"Chypre";0;109;0;0;0;0;0;0;0;0;0;0;0
"Exportation";"Valeur en euros";"Bangladesh";0;0;0;0;0;0;0;79;0;0;0;0;0
"Exportation";"Valeur en euros";"Emirats Arabes Unis";0;136540;0;39565;0;0;45930;39770;0;0;34448;0;0
"Exportation";"Valeur en euros";"Argentine";0;158;0;79;158;79;79;79;0;0;0;158;0
"Exportation";"Masse en kilogramme";"Total";1203888;1716753;1640930;1693521;1263175;1821179;1405526;1294916;962107;1436924;1225903;1156178;1134079
"Exportation";"Masse en kilogramme";"Etats-Unis d Amérique";82275;216650;221155;275855;117810;165675;128160;131475;114950;261348;80260;27687;195100
"Exportation";"Masse en kilogramme";"Japon";142095;196585;281075;71130;88150;434575;132500;136150;23390;37760;19985;62000;130400
"Exportation";"Masse en kilogramme";"Pays-Bas";67285;68249;88371;107928;43200;122475;60802;84256;136908;219895;103062;172802;129395
"Exportation";"Masse en kilogramme";"Allemagne";114781;154407;131529;97362;124790;127303;129325;102230;102004;134846;61901;115539;122724
"Exportation";"Masse en kilogramme";"Inde";53100;40550;87710;341680;189125;248850;271250;226905;74400;99220;135200;166000;104420
"Exportation";"Masse en kilogramme";"Chine";154250;99000;27750;107425;73600;90200;110470;36325;37800;99300;91475;55100;81100
"Exportation";"Masse en kilogramme";"Espagne";63677;201218;166738;87033;71756;125589;37347;77498;17033;46820;103534;10181;66822
"Exportation";"Masse en kilogramme";"Grèce";3953;34950;25000;20002;24002;20000;24000;9000;4003;40000;24000;20017;45000
"Exportation";"Masse en kilogramme";"République tchèque";76325;114880;49415;48500;30550;81445;39960;109770;31740;23551;58080;46400;39625
"Exportation";"Masse en kilogramme";"Italie";50732;79113;99282;151041;163563;113266;117868;62403;40104;121940;123357;92844;38228
"Exportation";"Masse en kilogramme";"Royaume-Uni";86975;116100;113526;31202;46328;62224;85400;62400;89600;76600;49701;95550;26200
"Exportation";"Masse en kilogramme";"Danemark";13800;0;10400;10400;0;2000;10400;19120;0;21323;19403;26880;22363
"Exportation";"Masse en kilogramme";"Turquie";45000;79925;80400;12400;57400;38250;23000;14500;53200;12050;50100;80300;21225
"Exportation";"Masse en kilogramme";"Indonésie";26300;2000;40000;4800;0;9025;19000;0;7200;20000;0;7500;19975
"Exportation";"Masse en kilogramme";"Irlande";0;6026;0;14160;21975;6121;18000;13000;6480;0;25068;14090;18000
"Exportation";"Masse en kilogramme";"Malte";18000;45977;18001;0;18000;18000;18000;0;0;0;36000;2;18000
"Exportation";"Masse en kilogramme";"Autriche";9600;11800;9000;11800;18600;13500;600;15070;17200;600;18700;11208;15302
"Exportation";"Masse en kilogramme";"Thaïlande";0;0;9000;0;0;2000;0;4;1;1;9050;0;9000
"Exportation";"Masse en kilogramme";"Corée du Sud";9000;16200;47150;27275;34475;28000;39650;57105;68550;20200;8700;17200;8300
"Exportation";"Masse en kilogramme";"Pologne";27000;9692;1000;6974;12900;1037;10548;11000;3000;6158;2000;27050;6500
"Exportation";"Masse en kilogramme";"Finlande";4200;20000;0;0;3900;150;0;0;0;24900;0;0;5000
"Exportation";"Masse en kilogramme";"Suède";10632;44700;41541;57265;20800;52200;25675;20700;15800;50600;26400;26702;2400
"Exportation";"Masse en kilogramme";"Israël";3350;900;0;0;2000;0;0;0;0;675;1000;1675;2000
"Exportation";"Masse en kilogramme";"Australie";0;0;0;2000;2000;0;2000;0;6250;0;0;0;2000
"Exportation";"Masse en kilogramme";"Tunisie";800;800;650;0;1800;800;0;5200;800;0;1600;0;1600
"Exportation";"Masse en kilogramme";"Belgique";0;10509;0;0;0;0;16;26;5;0;0;4446;1211
"Exportation";"Masse en kilogramme";"Jordanie";0;0;0;0;0;0;1035;0;0;3070;0;0;1000
"Exportation";"Masse en kilogramme";"Egypte";732;800;600;0;1112;0;2100;0;0;2915;0;0;500
"Exportation";"Masse en kilogramme";"Nouvelle-Zélande";0;0;0;0;0;0;0;75;0;0;0;0;300
"Exportation";"Masse en kilogramme";"Taïwan";5150;3150;0;25;5975;0;9975;12;0;4120;20000;0;200
"Exportation";"Masse en kilogramme";"Afrique du Sud";0;3000;0;0;0;0;0;0;0;28;102;1000;150
"Exportation";"Masse en kilogramme";"Brésil";3875;3000;5705;41825;1210;2800;4360;20950;180;25700;18475;320;20
"Exportation";"Masse en kilogramme";"Slovénie";4200;4002;3900;5901;4051;6226;1005;1000;5105;3013;2002;10475;13
"Exportation";"Masse en kilogramme";"Mexique";11850;39000;41000;45000;0;21000;12000;21000;20000;21000;59400;6;5
"Exportation";"Masse en kilogramme";"Singapour";1;0;3;2250;0;3;0;0;1800;0;0;0;1
"Exportation";"Masse en kilogramme";"Slovaquie";0;0;0;0;0;0;2;0;0;0;0;0;0
