"17021100 - Lactose, à l'état solide, et sirop de lactose, sans addition d'aromatisants ou de colorants, contenant en poids >= 99% de lactose, exprimé en lactose anhydre calculé sur matière sèche"
"Résultats  annuels 2025"
"Données brutes, CAF-FAB hors matériel militaire, non estimées des données sous le seuil de collecte et des données tardives"
"Pour les données annuelles : Valeurs en euros, masse en kilogrammes, pas de quantités disponibles pour ce produit "
"Pour les données mensuelles : Valeurs en euros, masse en kilogrammes, pas de quantités disponibles pour ce produit "
"Source : Lekiosque.finances.gouv.fr - Données extraites le : 27/03/2026"

Les données annuelles

"Exportations"
"Zone - Pays";"Valeur 2023";"Masse 2023";"Quantités 2023";"Valeur 2024";"Masse 2024";"Quantités 2024";"Valeur 2025";"Masse 2025";"Quantités 2025"
"Total";39320136;33589746;0;30346962;29503176;0;38913286;31532332;0
"Europe";25968962;25712510;0;15956554;17942810;0;21669570;18171071;0
"UE(27)";19527497;20619711;0;12095869;14545964;0;17290754;15248365;0
"UE14";18065389;19589258;0;11168770;13887796;0;16214932;14567297;0
"Zone Euro";18016853;19571966;0;11161842;13829761;0;16312850;14619081;0
"NEM";1462108;1030453;0;927099;658168;0;1075822;681068;0
"Afrique";3100628;1251033;0;5219658;3910446;0;6213052;4754152;0
"Amérique";1105352;374470;0;1688599;1045515;0;1888298;1307759;0
"Proche et Moyen-Orient";3190529;1483016;0;2606675;1477903;0;1096638;713855;0
"Asie";5954665;4768717;0;4875476;5126502;0;8045728;6585495;0
"Europe hors UE";6441465;5092799;0;3860685;3396846;0;4378816;2922706;0
"Irlande";4538615;3676225;0;3528235;4041569;0;5834466;5250241;0
"Chine";2065572;1899130;0;1355292;1843575;0;3713595;3599110;0
"Espagne";3443908;3719362;0;2357236;2910883;0;3444130;3026952;0
"Afrique du Sud";445795;422375;0;2175124;2562725;0;2955917;2785175;0
"Pays-Bas";4784073;7300488;0;1835175;3260819;0;2041775;2115887;0
"Royaume-Uni";3733656;2239081;0;2150391;2425681;0;1782614;1531718;0
"Belgique";2529134;2795809;0;1333443;1490562;0;1702530;1678904;0
"Allemagne";929042;709809;0;730600;854938;0;1685455;1438125;0
"Inde";1869382;1886827;0;1005199;964515;0;1514929;1046425;0
"Russie";1960477;2558681;0;1041974;615376;0;1438114;815802;0
"Italie";1427193;1041712;0;1156563;1151115;0;1352855;979812;0
"Algérie";1659670;239519;0;1766135;550276;0;1112961;440956;0
"Argentine";83045;24000;0;357292;360150;0;838307;696900;0
"Singapour";321878;247500;0;1098299;1257150;0;774444;652621;0
"Pakistan";171137;74500;0;243083;167300;0;685660;495150;0
"Emirats Arabes Unis";2522868;1035750;0;2289045;1235375;0;645286;370440;0
"Egypte";383467;317525;0;795598;570925;0;611431;548875;0
"Autres pays";6451224;3401453;0;5128278;3240242;0;6778817;4059239;0

"Importations"
"Zone - Pays";"Valeur 2023";"Masse 2023";"Quantités 2023";"Valeur 2024";"Masse 2024";"Quantités 2024";"Valeur 2025";"Masse 2025";"Quantités 2025"
"Total";64638263;40992189;0;55208058;36045409;0;61118451;36944483;0
"Europe";60092084;40214312;0;50902407;35493705;0;57616636;36095097;0
"UE(27)";55425233;33155456;0;47422597;29852279;0;53249454;31774404;0
"UE14";55215645;32932227;0;47373387;29807179;0;53040454;31576404;0
"Zone Euro";50614462;29090682;0;41878423;24587328;0;44216277;25009923;0
"NEM";209588;223229;0;49210;45100;0;209000;198000;0
"Amérique";1168773;280920;0;1051551;243272;0;718863;172982;0
"Proche et Moyen-Orient";0;0;0;16170;9000;0;0;0;0
"Asie";2456871;25774;0;2865158;29542;0;1928913;27934;0
"Divers non classifiés ailleurs";920535;471183;0;372772;269890;0;854039;648470;0
"Europe hors UE";4666851;7058856;0;3479810;5641426;0;4367182;4320693;0
"Allemagne";33351993;16550986;0;28791075;14612933;0;29579421;14470378;0
"Danemark";4671273;3910445;0;5510714;5242351;0;8824177;6566481;0
"Pays-Bas";11980370;7424475;0;7821479;4251469;0;8081131;3614786;0
"Royaume-Uni";4662303;7056246;0;3474557;5637834;0;4363650;4318125;0
"Italie";3485665;3916700;0;2482593;4063156;0;3691595;5201517;0
"Nouvelle-Zélande";2452712;24985;0;2864522;29005;0;1927738;26816;0
"Autriche";834409;408151;0;1625481;541179;0;1561660;699998;0
"Irlande";644814;585346;0;677198;921330;0;1032102;909570;0
"Autres pays";2554724;1114855;0;1960439;746152;0;2056977;1136812;0

Les données mensuelles
"Pour les données mensuelles : Valeurs en euros, masse en kilogrammes, pas de quantités disponibles pour ce produit "

"Flux";"Variable quantitative";"Libelle pays";"12.2024                  ";"01.2025                  ";"02.2025                  ";"03.2025                  ";"04.2025                  ";"05.2025                  ";"06.2025                  ";"07.2025                  ";"08.2025                  ";"09.2025                  ";"10.2025                  ";"11.2025                  ";"12.2025                  "
"Exportation";"Valeur en euros";"Total";3042420;3374036;2935085;3371124;3964700;3502322;3304855;3141917;3084177;3144617;2674817;3471690;2943946
"Exportation";"Valeur en euros";"Irlande";388002;378244;648876;636605;620819;523820;481997;393420;443919;449856;421740;469662;365508
"Exportation";"Valeur en euros";"Inde";57940;287713;97188;24967;1027;47102;65594;32223;152997;206972;38874;306208;254064
"Exportation";"Valeur en euros";"Belgique";145601;138280;83677;279045;243819;68350;177877;135860;52050;39150;66850;183202;234370
"Exportation";"Valeur en euros";"Russie";266550;202140;0;0;191115;143880;106860;125854;35700;145250;140000;140025;207290
"Exportation";"Valeur en euros";"Turquie";73058;0;38560;0;0;39480;40800;0;0;0;120666;0;162410
"Exportation";"Valeur en euros";"Afrique du Sud";314836;248534;270849;493655;209241;451598;313888;197330;223652;259223;129704;0;158243
"Exportation";"Valeur en euros";"Ghana";67280;0;134560;0;70560;70560;72000;0;0;0;0;71000;146160
"Exportation";"Valeur en euros";"Pays-Bas";185054;200317;247565;106200;357292;230549;96603;108480;149665;37200;148920;219126;139858
"Exportation";"Valeur en euros";"Pakistan";66862;74521;28440;34527;30560;0;128257;0;221982;0;15207;34590;117576
"Exportation";"Valeur en euros";"Italie";67296;145245;47155;121316;107972;194933;89698;62167;61471;128751;92090;185828;116229
"Exportation";"Valeur en euros";"Emirats Arabes Unis";0;0;0;0;79700;39200;0;49325;76224;302276;0;0;98561
"Exportation";"Valeur en euros";"Singapour";228519;44958;0;150685;224807;0;0;10629;0;0;70016;175049;98300
"Exportation";"Valeur en euros";"Jordanie";2500;0;0;19500;0;0;55506;0;0;0;0;79;88802
"Exportation";"Valeur en euros";"Espagne";146944;245088;125014;215358;116592;318063;284203;361215;370951;461322;434066;435605;76653
"Exportation";"Valeur en euros";"Taïwan";0;35681;37441;0;0;32556;0;35975;0;0;0;0;75455
"Exportation";"Valeur en euros";"Allemagne";39698;87423;69549;174008;129007;198117;283115;234664;94229;101944;129206;108973;75220
