Année;Pays partenaire;Code NC8;Libellé produit;Flux;Valeur (kEUR);Masse nette (tonnes)
2023;Irlande;17021100;Lactose, à l'état solide;Export;4538.6;3676.2
2023;Chine;17021100;Lactose, à l'état solide;Export;2065.6;1899.1
2023;Espagne;17021100;Lactose, à l'état solide;Export;3443.9;3719.4
2023;Afrique du Sud;17021100;Lactose, à l'état solide;Export;445.8;422.4
2023;Pays-Bas;17021100;Lactose, à l'état solide;Export;4784.1;7300.5
2023;Royaume-Uni;17021100;Lactose, à l'état solide;Export;3733.7;2239.1
2023;Belgique;17021100;Lactose, à l'état solide;Export;2529.1;2795.8
2023;Allemagne;17021100;Lactose, à l'état solide;Export;929.0;709.8
2023;Inde;17021100;Lactose, à l'état solide;Export;1869.4;1886.8
2023;Russie;17021100;Lactose, à l'état solide;Export;1960.5;2558.7
2023;Italie;17021100;Lactose, à l'état solide;Export;1427.2;1041.7
2023;Algérie;17021100;Lactose, à l'état solide;Export;1659.7;239.5
2023;Argentine;17021100;Lactose, à l'état solide;Export;83.0;24.0
2023;Singapour;17021100;Lactose, à l'état solide;Export;321.9;247.5
2023;Pakistan;17021100;Lactose, à l'état solide;Export;171.1;74.5
2023;Emirats Arabes Unis;17021100;Lactose, à l'état solide;Export;2522.9;1035.8
2023;Egypte;17021100;Lactose, à l'état solide;Export;383.5;317.5
2023;Allemagne;17021100;Lactose, à l'état solide;Import;33352.0;16551.0
2023;Danemark;17021100;Lactose, à l'état solide;Import;4671.3;3910.4
2023;Pays-Bas;17021100;Lactose, à l'état solide;Import;11980.4;7424.5
2023;Royaume-Uni;17021100;Lactose, à l'état solide;Import;4662.3;7056.2
2023;Italie;17021100;Lactose, à l'état solide;Import;3485.7;3916.7
2023;Nouvelle-Zélande;17021100;Lactose, à l'état solide;Import;2452.7;25.0
2023;Autriche;17021100;Lactose, à l'état solide;Import;834.4;408.2
2023;Irlande;17021100;Lactose, à l'état solide;Import;644.8;585.3
